community_name,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
ALBANY PARK,18,1117,2478,570,6,0,1822,111,260,1000,1,28,0,19,19,2,11,786,224,0,5,122,0,957,15,0,31,0,381,100,24,3066,250
ARCHER HEIGHTS,14,472,822,209,1,0,529,30,65,515,0,8,1,12,6,3,3,452,45,0,2,39,0,352,2,0,32,0,212,22,7,1538,204
ARMOUR SQUARE,12,519,1032,246,5,0,725,25,108,460,1,20,0,18,5,2,12,514,70,0,1,21,0,210,4,0,43,0,561,25,8,1488,182
ASHBURN,30,1224,2133,496,2,0,1496,70,200,1264,0,28,0,7,10,9,6,1378,63,0,9,154,0,999,0,0,39,0,322,58,30,2126,376
AUBURN GRESHAM,83,4138,7983,1406,19,2,5288,205,654,2036,4,179,3,143,17,23,25,3263,586,0,10,378,0,2918,3,1,121,0,1219,152,83,5422,1781
AUSTIN,232,7351,16198,1935,20,5,8437,537,975,4016,7,347,7,216,44,22,37,5846,3558,1,13,583,0,5033,415,0,269,0,3410,355,99,10835,3240
AVALON PARK,18,710,1224,287,5,0,854,39,116,488,1,29,0,20,1,2,1,700,85,0,1,70,0,494,1,0,16,0,246,31,13,1081,336
AVONDALE,15,910,1832,552,1,0,1343,46,237,937,0,13,0,9,10,5,7,833,117,0,2,64,1,713,1,0,29,0,474,75,17,3771,176
BELMONT CRAGIN,46,2292,4725,766,20,2,2680,148,357,1947,0,41,3,50,29,10,43,1958,514,0,7,275,0,2329,12,0,71,0,787,184,63,4874,864
BEVERLY,6,422,643,269,4,1,647,24,131,781,0,4,0,6,5,5,6,463,45,2,3,93,0,494,0,1,9,0,134,30,13,1132,77
BRIDGEPORT,19,812,1391,475,1,0,1248,48,188,894,0,17,1,12,17,7,7,636,100,0,1,54,0,556,4,0,25,0,284,48,22,1969,245
BRIGHTON PARK,49,1254,2598,404,4,0,1527,66,174,825,0,49,0,15,17,7,10,803,99,0,6,214,0,904,4,0,31,0,516,95,22,2036,474
BURNSIDE,6,197,353,66,2,0,300,14,30,120,0,5,0,4,0,1,3,173,19,0,1,22,0,157,0,0,8,0,57,9,6,251,106
CALUMET HEIGHTS,18,762,1247,299,5,1,1084,67,116,574,0,22,0,16,4,1,11,1020,64,1,2,69,0,537,0,0,8,0,449,35,10,1348,378
CHATHAM,92,3644,6806,1378,18,0,4469,182,565,1670,1,151,1,133,4,22,7,2994,434,0,2,299,1,2323,2,1,115,0,1512,119,54,6041,1372
CHICAGO LAWN,109,3173,6240,1045,9,0,3691,222,427,1659,12,101,1,71,29,22,22,2050,824,0,8,292,0,2349,1,1,101,0,1091,166,47,4463,1375
CLEARING,12,554,1045,250,3,0,765,21,114,715,0,5,0,4,3,2,2,524,35,0,4,79,0,618,1,0,15,0,106,43,20,1124,106
DOUGLAS,16,1530,2953,347,13,1,1771,94,284,1012,2,39,0,50,16,6,5,1908,246,0,5,95,0,1038,0,0,106,0,438,62,43,3583,506
DUNNING,23,729,1573,425,3,0,1060,49,188,1370,0,8,0,5,12,7,20,661,89,0,4,92,0,933,1,1,14,0,125,72,29,1814,99
EAST GARFIELD PARK,41,2403,5085,547,9,1,2674,164,364,862,5,129,2,87,8,12,4,1768,2004,0,1,160,1,1402,8,0,101,1,995,96,56,3074,1059
EAST SIDE,29,799,1421,215,1,0,1087,32,128,364,0,23,0,15,5,8,11,691,63,0,3,79,0,659,0,0,22,0,150,36,13,1111,320
EDGEWATER,15,1387,2895,754,1,0,1684,158,463,1665,0,13,0,19,26,5,1,1019,99,1,5,54,0,957,3,1,44,0,456,123,45,5592,80
EDISON PARK,2,100,227,98,0,0,174,10,58,375,0,2,0,1,7,1,4,62,3,0,0,21,0,163,0,0,6,0,10,12,4,317,3
ENGLEWOOD,98,3492,7066,800,35,2,3551,208,368,1221,1,141,1,137,10,15,15,2227,889,0,3,285,0,2186,23,1,125,0,1108,114,51,3714,2002
FOREST GLEN,3,198,316,241,0,0,330,14,100,651,0,1,0,2,2,1,1,175,27,0,2,23,0,213,1,0,8,0,34,21,4,730,37
FULLER PARK,21,450,794,96,3,0,412,11,73,218,0,20,0,21,5,5,1,342,110,0,1,28,1,219,0,0,32,0,258,13,9,599,254
GAGE PARK,38,1278,2417,396,10,0,1446,69,155,686,0,41,1,26,14,12,15,900,160,0,5,155,0,965,0,1,45,0,526,105,25,2349,606
GARFIELD RIDGE,21,911,1573,393,164,0,1581,39,236,1473,0,16,1,18,7,3,7,975,178,0,4,80,0,766,266,1,72,0,251,66,33,2357,285
GRAND BOULEVARD,33,2040,3727,560,10,0,2688,110,302,1130,3,51,0,41,5,6,8,2367,263,0,1,143,1,1419,22,1,96,0,577,79,52,3612,821
GREATER GRAND CROSSING,101,4119,8107,1319,29,2,4627,219,612,1570,2,177,1,152,14,18,23,3315,621,0,5,368,0,2467,0,2,119,0,1424,123,58,5066,2188
HEGEWISCH,14,381,730,118,2,0,564,13,85,317,0,3,0,2,1,4,5,408,18,0,2,57,0,400,0,0,4,0,61,25,9,765,83
HERMOSA,25,705,1501,227,5,0,879,53,96,598,0,11,1,19,6,9,11,663,136,0,2,137,0,654,0,0,36,0,377,59,12,1480,314
HUMBOLDT PARK,113,3301,7352,1122,24,2,3847,213,596,1710,10,157,2,126,10,16,20,2679,5516,1,8,332,1,2476,18,0,200,0,1971,196,49,5329,1587
HYDE PARK,6,889,1458,446,3,1,1247,125,171,1056,0,9,1,9,7,4,4,1198,38,0,6,63,0,680,0,0,19,0,600,68,39,4411,123
IRVING PARK,36,1167,2433,707,4,0,1722,80,281,1302,0,12,2,15,15,0,21,1104,225,0,6,106,2,1162,5,1,32,0,427,113,34,3632,227
JEFFERSON PARK,12,468,959,270,2,0,659,28,168,833,0,3,0,7,8,2,5,335,73,0,3,33,1,473,1,0,16,0,123,40,26,1412,33
KENWOOD,13,960,1713,315,0,0,1377,57,136,735,0,15,0,10,6,8,1,1206,69,0,0,91,0,763,0,1,20,0,356,42,24,2417,183
LAKE VIEW,26,1798,4270,1440,24,1,2804,319,865,3888,0,9,0,22,43,8,49,2113,137,0,9,51,1,1315,3,2,146,0,1128,171,62,13323,167
LINCOLN PARK,25,1000,1839,1215,5,2,1954,116,487,2319,0,4,0,4,19,5,33,1460,66,0,8,33,1,673,0,0,64,0,636,118,29,9239,139
LINCOLN SQUARE,8,838,1776,610,2,0,1340,106,357,1253,0,6,0,8,9,3,14,659,103,0,5,43,0,597,1,1,24,0,243,85,17,3545,64
LOGAN SQUARE,35,1659,3396,1335,13,1,2913,139,435,1974,1,29,0,22,19,10,29,2014,211,0,5,136,1,1446,2,1,75,0,1129,158,62,9033,328
LOOP,55,2589,5982,827,32,1,3191,261,1534,4700,7,32,0,262,40,5,34,2269,899,1,5,46,6,1645,1,6,415,0,1579,263,50,17931,661
LOWER WEST SIDE,28,1502,2927,521,20,0,1946,94,307,1030,0,48,0,28,20,5,21,1265,196,0,5,80,2,877,0,3,91,0,733,96,41,3635,478
MCKINLEY PARK,13,493,842,234,4,0,644,36,80,326,0,15,2,8,6,2,5,363,58,0,1,31,0,286,1,0,10,0,208,18,13,1358,192
MONTCLARE,12,297,603,130,0,0,490,13,74,369,0,4,0,2,8,4,5,353,32,0,0,46,0,302,0,0,6,0,63,11,5,866,83
MORGAN PARK,13,1026,1960,345,4,1,1317,45,179,997,0,32,2,46,6,13,7,863,186,1,4,174,0,872,0,0,34,0,267,45,18,2248,341
MOUNT GREENWOOD,1,245,486,81,2,1,356,19,93,589,0,0,0,5,3,6,15,158,38,0,2,38,0,315,1,0,6,0,55,24,8,599,29
NEAR NORTH SIDE,25,3546,8233,1456,28,6,3791,772,2005,6692,5,55,3,126,42,15,86,2921,717,3,2,147,1,2192,8,2,332,0,1882,308,112,22912,1406
NEAR SOUTH SIDE,5,1117,2209,376,14,2,1380,97,401,1309,3,25,0,55,12,10,17,1528,220,0,8,68,0,834,3,0,105,0,344,84,23,3208,362
NEAR WEST SIDE,64,4301,7812,1617,41,1,5750,368,1336,4025,1,102,2,98,40,17,55,4592,788,2,12,205,1,2719,2,1,245,0,2092,244,133,16977,825
NEW CITY,74,2686,5055,714,11,0,2674,136,372,1114,0,94,1,71,17,12,13,1434,404,0,7,221,0,1594,2,0,71,0,1071,123,34,3592,1395
NORTH CENTER,10,423,796,517,1,1,870,42,192,1054,0,5,0,10,7,3,7,537,53,0,4,30,0,411,1,0,32,0,188,47,15,2365,35
NORTH LAWNDALE,112,3985,9327,767,41,1,4653,309,532,1546,5,188,8,133,13,19,27,2546,4114,2,3,322,0,2671,24,0,198,0,1754,156,63,4920,2308
NORTH PARK,3,449,884,241,0,0,562,28,118,597,1,6,1,0,4,1,5,344,59,0,1,52,0,319,1,0,16,0,113,39,12,1503,66
NORWOOD PARK,15,495,1023,379,0,0,708,39,199,1321,0,3,0,5,10,8,5,302,51,0,2,55,1,610,2,0,14,0,94,37,22,1734,29
OAKLAND,2,461,817,92,2,0,636,17,58,294,0,7,0,7,2,4,2,622,27,0,1,55,0,366,0,0,9,0,146,9,17,798,167
OHARE,5,522,1315,96,279,0,620,36,634,1030,0,2,0,8,2,3,6,611,720,0,6,25,0,567,0,0,188,0,41,42,17,2860,92
PORTAGE PARK,41,1424,2953,775,4,0,1940,100,336,1688,0,19,1,36,17,12,37,1279,322,0,7,174,3,1558,2,0,49,0,407,138,44,4263,279
PULLMAN,8,695,1104,163,4,0,725,31,95,372,0,18,0,29,1,2,0,512,74,1,1,70,0,516,0,0,26,0,128,24,22,1210,273
RIVERDALE,16,987,1723,161,0,0,1043,47,84,222,1,35,2,13,2,5,0,555,37,0,0,114,0,522,0,0,20,0,199,26,15,811,360
ROGERS PARK,26,1856,4379,688,4,5,2625,194,547,1667,0,34,0,48,37,7,21,1440,372,0,3,123,2,1435,1,3,65,0,742,171,52,6595,265
ROSELAND,89,3630,6741,1167,19,4,4913,211,518,1820,6,140,2,173,11,23,4,3037,669,1,5,373,0,2621,47,1,88,0,1162,146,52,4771,1874
SOUTH CHICAGO,67,2692,5017,805,9,2,3373,135,349,1063,2,95,0,73,9,19,29,2066,252,1,4,294,1,1742,0,0,44,0,762,104,26,3392,1030
SOUTH DEERING,16,1211,1897,281,3,1,1506,32,190,621,0,35,0,25,6,6,9,1072,109,0,1,140,0,713,0,1,25,0,334,36,13,1938,440
SOUTH LAWNDALE,81,2360,5261,515,26,2,2813,172,315,1233,0,114,3,56,30,9,18,1334,528,0,8,257,0,1648,0,3,168,0,1134,159,37,3452,1389
SOUTH SHORE,91,5413,10812,2168,13,3,6495,332,748,2309,1,206,2,74,21,28,10,4304,599,0,6,458,1,3248,7,0,105,0,1742,185,105,7481,1877
UPTOWN,26,2059,4184,888,10,2,2192,245,580,2198,0,25,1,36,19,4,10,1222,218,0,6,99,1,1174,1,0,67,0,616,170,48,6963,190
WASHINGTON HEIGHTS,35,1674,2923,564,10,1,2304,87,273,1220,0,52,0,55,7,7,3,1866,288,0,2,161,0,1330,0,1,51,0,533,73,28,3023,680
WASHINGTON PARK,20,1503,3159,349,2,2,1685,77,176,640,3,53,4,30,9,4,6,1462,201,0,2,150,0,999,1,0,40,0,385,44,45,1881,662
WEST ELSDON,15,458,873,247,4,0,720,18,77,488,0,5,1,5,9,2,0,462,57,0,2,45,0,430,0,0,33,0,208,42,3,928,196
WEST ENGLEWOOD,106,3201,6508,808,30,4,3790,185,324,1184,5,145,4,143,19,18,8,1945,1081,0,3,294,1,2099,52,1,93,0,1118,109,30,3729,2036
WEST GARFIELD PARK,82,2155,5147,462,17,3,2565,160,325,809,2,166,0,108,5,9,13,1589,3573,0,3,161,0,1188,376,0,141,0,1307,68,24,2396,1551
WEST LAWN,19,747,1515,404,3,0,1194,53,123,788,0,10,0,13,8,2,5,979,68,0,5,108,0,679,0,0,34,0,261,69,13,2322,274
WEST PULLMAN,78,2206,4032,1086,17,3,3111,93,314,1202,1,119,1,81,6,16,11,1801,355,1,1,227,0,1639,5,0,47,0,562,91,40,2845,1326
WEST RIDGE,33,1610,3573,952,2,4,2572,113,412,2294,1,25,0,23,29,11,20,1652,194,0,9,130,0,1313,1,1,42,0,657,164,35,5002,205
WEST TOWN,46,2447,4635,2187,17,0,4586,211,715,2927,2,44,1,45,27,9,70,4091,350,0,4,154,0,1657,1,2,103,0,2006,222,60,13806,510
WOODLAWN,33,2115,4123,723,11,1,2526,128,361,1034,0,70,2,38,10,14,3,1812,278,0,6,230,0,1325,0,0,69,0,597,85,30,3531,1058
