community_area,crime_count
EDISON PARK,1506
BURNSIDE,2097
MOUNT GREENWOOD,2854
FOREST GLEN,3025
FULLER PARK,3603
MONTCLARE,3653
HEGEWISCH,4028
OAKLAND,4525
WEST ELSDON,5060
MCKINLEY PARK,5276
NORTH PARK,5317
BEVERLY,5492
ARCHER HEIGHTS,5578
PULLMAN,5672
JEFFERSON PARK,5886
CLEARING,6181
ARMOUR SQUARE,6293
AVALON PARK,6500
HERMOSA,6869
RIVERDALE,6948
NORWOOD PARK,7060
EAST SIDE,7226
NORTH CENTER,7543
CALUMET HEIGHTS,8693
OHARE,8717
BRIDGEPORT,8957
DUNNING,9034
WEST LAWN,9291
KENWOOD,10595
SOUTH DEERING,10688
MORGAN PARK,10938
GARFIELD RIDGE,11592
AVONDALE,11652
LINCOLN SQUARE,12194
ASHBURN,12251
GAGE PARK,12300
BRIGHTON PARK,12540
HYDE PARK,12647
ALBANY PARK,13222
WASHINGTON PARK,13683
NEAR SOUTH SIDE,13790
IRVING PARK,14847
LOWER WEST SIDE,15012
DOUGLAS,16265
WASHINGTON HEIGHTS,16766
EDGEWATER,17321
PORTAGE PARK,17903
GRAND BOULEVARD,19473
WEST RIDGE,20165
WEST PULLMAN,20966
LINCOLN PARK,21147
WOODLAWN,21219
NEW CITY,21927
ROGERS PARK,22327
SOUTH CHICAGO,22719
UPTOWN,23220
WEST GARFIELD PARK,23417
EAST GARFIELD PARK,23549
SOUTH LAWNDALE,23698
BELMONT CRAGIN,25524
LOGAN SQUARE,26486
WEST ENGLEWOOD,29099
CHICAGO LAWN,29464
ENGLEWOOD,30420
LAKE VIEW,33005
CHATHAM,33147
ROSELAND,34318
GREATER GRAND CROSSING,36066
AUBURN GRESHAM,38326
HUMBOLDT PARK,38543
NORTH LAWNDALE,39491
WEST TOWN,40540
LOOP,44592
SOUTH SHORE,48566
NEAR WEST SIDE,54113
NEAR NORTH SIDE,59274
AUSTIN,72550
