year,community_area,primary_type,count,community_name
2020,1,ARSON,1,ROGERS PARK
2020,1,ASSAULT,274,ROGERS PARK
2020,1,BATTERY,626,ROGERS PARK
2020,1,BURGLARY,120,ROGERS PARK
2020,1,CRIM SEXUAL ASSAULT,5,ROGERS PARK
2020,1,CRIMINAL DAMAGE,443,ROGERS PARK
2020,1,CRIMINAL SEXUAL ASSAULT,33,ROGERS PARK
2020,1,CRIMINAL TRESPASS,60,ROGERS PARK
2020,1,DECEPTIVE PRACTICE,316,ROGERS PARK
2020,1,HOMICIDE,6,ROGERS PARK
2020,1,INTERFERENCE WITH PUBLIC OFFICER,9,ROGERS PARK
2020,1,INTIMIDATION,2,ROGERS PARK
2020,1,KIDNAPPING,2,ROGERS PARK
2020,1,LIQUOR LAW VIOLATION,4,ROGERS PARK
2020,1,MOTOR VEHICLE THEFT,105,ROGERS PARK
2020,1,NARCOTICS,60,ROGERS PARK
2020,1,OFFENSE INVOLVING CHILDREN,20,ROGERS PARK
2020,1,OTHER NARCOTIC VIOLATION,1,ROGERS PARK
2020,1,OTHER OFFENSE,179,ROGERS PARK
2020,1,PROSTITUTION,1,ROGERS PARK
2020,1,PUBLIC INDECENCY,1,ROGERS PARK
2020,1,PUBLIC PEACE VIOLATION,10,ROGERS PARK
2020,1,ROBBERY,115,ROGERS PARK
2020,1,SEX OFFENSE,27,ROGERS PARK
2020,1,STALKING,6,ROGERS PARK
2020,1,THEFT,848,ROGERS PARK
2020,1,WEAPONS VIOLATION,33,ROGERS PARK
2020,2,ARSON,4,WEST RIDGE
2020,2,ASSAULT,230,WEST RIDGE
2020,2,BATTERY,567,WEST RIDGE
2020,2,BURGLARY,168,WEST RIDGE
2020,2,CRIM SEXUAL ASSAULT,4,WEST RIDGE
2020,2,CRIMINAL DAMAGE,390,WEST RIDGE
2020,2,CRIMINAL SEXUAL ASSAULT,8,WEST RIDGE
2020,2,CRIMINAL TRESPASS,64,WEST RIDGE
2020,2,DECEPTIVE PRACTICE,352,WEST RIDGE
2020,2,HOMICIDE,6,WEST RIDGE
2020,2,INTERFERENCE WITH PUBLIC OFFICER,2,WEST RIDGE
2020,2,INTIMIDATION,3,WEST RIDGE
2020,2,KIDNAPPING,1,WEST RIDGE
2020,2,LIQUOR LAW VIOLATION,3,WEST RIDGE
2020,2,MOTOR VEHICLE THEFT,141,WEST RIDGE
2020,2,NARCOTICS,48,WEST RIDGE
2020,2,OBSCENITY,2,WEST RIDGE
2020,2,OFFENSE INVOLVING CHILDREN,23,WEST RIDGE
2020,2,OTHER OFFENSE,164,WEST RIDGE
2020,2,PUBLIC PEACE VIOLATION,11,WEST RIDGE
2020,2,ROBBERY,99,WEST RIDGE
2020,2,SEX OFFENSE,18,WEST RIDGE
2020,2,STALKING,2,WEST RIDGE
2020,2,THEFT,769,WEST RIDGE
2020,2,WEAPONS VIOLATION,31,WEST RIDGE
2020,3,ARSON,4,UPTOWN
2020,3,ASSAULT,247,UPTOWN
2020,3,BATTERY,528,UPTOWN
2020,3,BURGLARY,113,UPTOWN
2020,3,CONCEALED CARRY LICENSE VIOLATION,1,UPTOWN
2020,3,CRIM SEXUAL ASSAULT,2,UPTOWN
2020,3,CRIMINAL DAMAGE,272,UPTOWN
2020,3,CRIMINAL SEXUAL ASSAULT,27,UPTOWN
2020,3,CRIMINAL TRESPASS,64,UPTOWN
2020,3,DECEPTIVE PRACTICE,403,UPTOWN
2020,3,HOMICIDE,6,UPTOWN
2020,3,INTERFERENCE WITH PUBLIC OFFICER,8,UPTOWN
2020,3,INTIMIDATION,2,UPTOWN
2020,3,KIDNAPPING,1,UPTOWN
2020,3,LIQUOR LAW VIOLATION,1,UPTOWN
2020,3,MOTOR VEHICLE THEFT,111,UPTOWN
2020,3,NARCOTICS,45,UPTOWN
2020,3,OBSCENITY,1,UPTOWN
2020,3,OFFENSE INVOLVING CHILDREN,18,UPTOWN
2020,3,OTHER NARCOTIC VIOLATION,1,UPTOWN
2020,3,OTHER OFFENSE,130,UPTOWN
2020,3,PUBLIC PEACE VIOLATION,21,UPTOWN
2020,3,ROBBERY,100,UPTOWN
2020,3,SEX OFFENSE,16,UPTOWN
2020,3,THEFT,814,UPTOWN
2020,3,WEAPONS VIOLATION,27,UPTOWN
2020,4,ARSON,1,LINCOLN SQUARE
2020,4,ASSAULT,105,LINCOLN SQUARE
2020,4,BATTERY,291,LINCOLN SQUARE
2020,4,BURGLARY,102,LINCOLN SQUARE
2020,4,CONCEALED CARRY LICENSE VIOLATION,1,LINCOLN SQUARE
2020,4,CRIMINAL DAMAGE,214,LINCOLN SQUARE
2020,4,CRIMINAL SEXUAL ASSAULT,16,LINCOLN SQUARE
2020,4,CRIMINAL TRESPASS,46,LINCOLN SQUARE
2020,4,DECEPTIVE PRACTICE,257,LINCOLN SQUARE
2020,4,HOMICIDE,1,LINCOLN SQUARE
2020,4,INTERFERENCE WITH PUBLIC OFFICER,1,LINCOLN SQUARE
2020,4,INTIMIDATION,1,LINCOLN SQUARE
2020,4,KIDNAPPING,1,LINCOLN SQUARE
2020,4,LIQUOR LAW VIOLATION,6,LINCOLN SQUARE
2020,4,MOTOR VEHICLE THEFT,88,LINCOLN SQUARE
2020,4,NARCOTICS,16,LINCOLN SQUARE
2020,4,OFFENSE INVOLVING CHILDREN,7,LINCOLN SQUARE
2020,4,OTHER OFFENSE,72,LINCOLN SQUARE
2020,4,PUBLIC PEACE VIOLATION,2,LINCOLN SQUARE
2020,4,ROBBERY,33,LINCOLN SQUARE
2020,4,SEX OFFENSE,6,LINCOLN SQUARE
2020,4,STALKING,2,LINCOLN SQUARE
2020,4,THEFT,619,LINCOLN SQUARE
2020,4,WEAPONS VIOLATION,6,LINCOLN SQUARE
2020,5,ARSON,5,NORTH CENTER
2020,5,ASSAULT,63,NORTH CENTER
2020,5,BATTERY,101,NORTH CENTER
2020,5,BURGLARY,84,NORTH CENTER
2020,5,CRIM SEXUAL ASSAULT,1,NORTH CENTER
2020,5,CRIMINAL DAMAGE,96,NORTH CENTER
2020,5,CRIMINAL SEXUAL ASSAULT,5,NORTH CENTER
2020,5,CRIMINAL TRESPASS,33,NORTH CENTER
2020,5,DECEPTIVE PRACTICE,237,NORTH CENTER
2020,5,HOMICIDE,2,NORTH CENTER
2020,5,INTERFERENCE WITH PUBLIC OFFICER,3,NORTH CENTER
2020,5,KIDNAPPING,1,NORTH CENTER
2020,5,LIQUOR LAW VIOLATION,1,NORTH CENTER
2020,5,MOTOR VEHICLE THEFT,47,NORTH CENTER
2020,5,NARCOTICS,11,NORTH CENTER
2020,5,OFFENSE INVOLVING CHILDREN,7,NORTH CENTER
2020,5,OTHER OFFENSE,59,NORTH CENTER
2020,5,PUBLIC PEACE VIOLATION,8,NORTH CENTER
2020,5,ROBBERY,27,NORTH CENTER
2020,5,SEX OFFENSE,5,NORTH CENTER
2020,5,STALKING,1,NORTH CENTER
2020,5,THEFT,359,NORTH CENTER
